org_name,org_industry,amount_given,group,id,category
Midwest Behavorial Health Care Management Inc.,Health Care,50.00,one,461,low
Liberty Memorial Association,Other,50.00,one,462,low
James Gwinner and Associates LLC,Legal/Lobbying,46.00,one,463,low
Missouri Chapter of The Association of Public Safety Communications Officals,Government,45.77,one,464,low
Missouri Chapter of The National Emergency Number Association,Government,45.77,one,465,low
Missouri Charter Public Schools Association,Education,44.55,one,466,low
AMIkids,Ideology/Single-Issue,44.44,one,467,low
Consumer Funeral Assurance,Other,43.75,one,468,low
Citigroup Management Corp..,Financial Services/Insurance,42.35,one,469,low
Missouri Catholic Conference,Ideology/Single-Issue,41.99,one,470,low
Castle Partners,Legal/Lobbying,41.00,one,471,low
The Doctors Company,Health Care,39.75,one,472,low
R.L. Polk & Company,Financial Services/Insurance,38.60,one,473,low
BioSTL,Health Care,38.14,one,474,low
Missouri Tow Truck Association,Transportation,36.20,one,475,low
Missourians For A Balanced Energy Future,Ideology/Single-Issue,36.00,one,476,low
Missouri State Building Trades,Labor,35.85,one,477,low
St. Louis University,Education,35.50,one,478,low
Robert J. Herleth,Legal/Lobbying,33.87,one,479,low
Kingdom Of Callaway Chamber Of Commerce,Chambers of Commerce,33.50,one,480,low
ANR Pipeline Company,Energy,33.48,one,481,low
Swope Community Enterprises,Health Care,32.00,one,482,low
ACLU of Eastern Missouri,Ideology/Single-Issue,32.00,one,483,low
Dale Amick & Associates,Legal/Lobbying,30.00,one,484,low
Northside Regeneration LLC,Real Estate/Construction,29.10,one,485,low
Kit Bond Strategies,Legal/Lobbying,26.50,one,486,low
Best Friends Animal Society,Ideology/Single-Issue,25.60,one,487,low
Cooperating School Districts of Greater St. Louis,Education,25.00,one,488,low
JG Foundation,Health Care,25.00,one,489,low
Missouri Recycling Association,Ideology/Single-Issue,25.00,one,490,low
Missouri Laborers' Legislative Committee,Labor,24.35,one,491,low
Blue Cross And Blue Shield Of Kansas City,Health Care,24.00,one,492,low
Mid-America Regional Council,Transportation,24.00,one,493,low
Husch Blackwell LLP,Legal/Lobbying,23.25,one,494,low
City of Chesterfield,Government,22.68,one,495,low
Wm. Randolph Weber,Legal/Lobbying,21.68,one,496,low
Missouri State University - West Plains,Education,21.49,one,497,low
Missouri Family Policy Council,Ideology/Single-Issue,21.40,one,498,low
National MS Society,Health Care,20.00,one,499,low
Missouri Alliance for Art Education,Education,19.50,one,500,low
Sanofi-Aventis,Health Care,18.11,one,501,low
Home School Legal Defense Association,Legal/Lobbying,16.00,one,502,low
Faultless Linen,Health Care,15.43,one,503,low
Saint Luke's Health System,Health Care,15.24,one,504,low
Missouri Botanical Garden,Other,14.27,one,505,low
Scherr Winter LLC,Legal/Lobbying,14.17,one,506,low
H&R Block,Financial Services/Insurance,14.00,one,507,low
Central Missouri Development Council,Legal/Lobbying,13.00,one,508,low
Missouri Policy Matters,Other,11.99,one,509,low
Trails End,Other,11.20,one,510,low
Republic Services Inc.,Other,10.50,one,511,low
Board of Police Commissioners of Kansas City,Government,10.41,one,512,low
CoxHealth,Health Care,10.00,one,513,low
Francis E. Flotron,Legal/Lobbying,10.00,one,514,low
Kansas City Regional Association of Realtors,Real Estate/Construction,10.00,one,515,low
McKinstry Essention Inc.,Real Estate/Construction,10.00,one,516,low
Missouri Limestone Producers Association,Real Estate/Construction,10.00,one,517,low
General Partners For Transcanada Keystone Pipeline LP,Energy,9.67,one,518,low
Flowers Energy Consulting LLC ,Legal/Lobbying,9.00,one,519,low
St. Charles County,Government,8.02,one,520,low
Missouri Whitetail Breeders and Hunting Ranch Association,Food/Agriculture/Beverages,6.99,one,521,low
MedImmune Inc.,Health Care,6.75,one,522,low
Jarco Solutions,Real Estate/Construction,4.67,one,523,low
Missouri State Labor Council AFL-CIO,Labor,3.21,one,524,low
Citizens for Policy Reform LLC,Ideology/Single-Issue,2.50,one,525,low
U-Gas Inc.,Energy,2.00,one,526,low
CCA Global Partners,Other,0.75,one,527,low
